run,layer,pair,unit_x,unit_y,rho,c_x,c_y,kappa,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
b,8,tail-strided,u0,u1,0.6479903865375968,0.7781681847439509,0.7342596767895432,0.93902529964541,0.8294804563391375,1.0381699576703034,0.0
b,8,tail-spread,u0,u0,0.13089202683459056,0.7781681847439509,0.23112536986874083,1.1722060232326665,0.8773172100798384,3.4137457570686283,0.1357
b,8,tail-spread,u0,u1,0.0607530008443334,0.7781681847439509,0.15149179794035436,1.3929881699021762,0.8494810189120509,2.91640131308436,0.2478
b,8,strided-spread,u1,u0,0.3845855160101214,0.7342596767895432,0.23112536986874083,0.6642815447460972,0.34300502524459553,0.8963233821247635,0.0027
b,8,strided-spread,u1,u1,0.3368013971492006,0.7342596767895432,0.15149179794035436,0.5746884345392999,0.22230861132531027,0.8635036531170305,0.0176
b,8,identity:tail,u0,,0.4696176551193194,0.7781681847439509,nan,1.6570249782160247,nan,nan,nan
b,8,identity:strided,u1,,1.3798254377232835,0.7342596767895432,nan,0.5321395422315696,nan,nan,nan
b,8,identity:spread,u0,,0.2787204131014491,0.23112536986874083,nan,0.8292373253071185,nan,nan,nan
b,9,tail-strided,u0,u1,0.7523108103352176,0.8107727537424894,0.7055914696322559,0.872022282470908,0.7109162269713288,0.9707469111672482,0.0
b,9,tail-spread,u0,u0,0.8045652884412169,0.8107727537424894,0.799429159595325,0.8975505546231234,0.8086640091201449,0.9661011093641839,0.0
b,9,tail-spread,u0,u1,0.7381326909245708,0.8107727537424894,0.7200069226194492,0.8893049073008221,0.7458265472975836,0.9821326634791658,0.0
b,9,strided-spread,u1,u0,0.8654926597722356,0.7055914696322559,0.799429159595325,0.8073000121377115,0.667009226971527,0.8923503467024296,0.0
b,9,strided-spread,u1,u1,0.9436458460397233,0.7055914696322559,0.7200069226194492,0.7337371029330932,0.5745844631176343,0.8456603017198782,0.0
b,9,identity:tail,u0,,0.8362720897530461,0.8107727537424894,nan,0.9695083259109044,nan,nan,nan
b,9,identity:strided,u1,,0.899600524223375,0.7055914696322559,nan,0.7843386599195159,nan,nan,nan
b,9,identity:spread,u0,,0.9620855440468037,0.799429159595325,nan,0.8309335531980868,nan,nan,nan
