run,layer,n_steps,lag_dumps,lag_steps,c_forward,c_backward,asymmetry,pairs
A,8,17,2,50,0.8357618433606192,0.7494562648049097,0.08630557855570953,13
A,8,17,3,75,0.8124555272360232,0.7211440272205739,0.0913115000154493,11
A,8,17,4,100,0.77279357948837,0.6950461839306202,0.07774739555774979,9
B,8,17,-4,-100,0.7146412358849351,0.7493475801849221,-0.03470634429998698,9
B,8,17,-3,-75,0.7273596334255233,0.7901697681875429,-0.06281013476201958,11
B,8,17,-2,-50,0.7440656120683352,0.8095069710881002,-0.065441359019765,13
B,8,17,-1,-25,0.7791379848662913,0.81941338697486,-0.040275402108568725,15
B,8,17,0,0,0.8070766819634124,0.8070766819634124,0.0,17
B,8,17,1,25,0.81941338697486,0.7791379848662913,0.040275402108568725,15
B,8,17,2,50,0.8095069710881002,0.7440656120683352,0.065441359019765,13
B,8,17,3,75,0.7901697681875429,0.7273596334255233,0.06281013476201958,11
B,8,17,4,100,0.7493475801849221,0.7146412358849351,0.03470634429998698,9
A,9,18,-4,-100,0.7251388124800829,0.6662373250118283,0.05890148746825463,10
A,9,18,-3,-75,0.7190330573210942,0.7500787674363657,-0.031045710115271463,12
A,9,18,-2,-50,0.7231495669512692,0.8030363506854794,-0.07988678373421021,14
A,9,18,-1,-25,0.7549036405983318,0.8206009701117138,-0.06569732951338203,16
A,9,18,0,0,0.8030089293660381,0.8030089293660381,0.0,18
A,9,18,1,25,0.8206009701117138,0.7549036405983318,0.06569732951338203,16
A,9,18,2,50,0.8030363506854794,0.7231495669512692,0.07988678373421021,14
A,9,18,3,75,0.7500787674363657,0.7190330573210942,0.031045710115271463,12
A,9,18,4,100,0.6662373250118283,0.7251388124800829,-0.05890148746825463,10
B,9,18,-4,-100,0.6921170357956528,0.6492439554823337,0.042873080313319045,10
B,9,18,-3,-75,0.6953046132655106,0.7402769595881259,-0.044972346322615264,12
B,9,18,-2,-50,0.7173406354491714,0.8012503577051511,-0.0839097222559797,14
B,9,18,-1,-25,0.7651794064904566,0.8234779721728499,-0.05829856568239333,16
B,9,18,0,0,0.8085004947602866,0.8085004947602866,0.0,18
B,9,18,1,25,0.8234779721728499,0.7651794064904566,0.05829856568239333,16
B,9,18,2,50,0.8012503577051511,0.7173406354491714,0.0839097222559797,14
B,9,18,3,75,0.7402769595881259,0.6953046132655106,0.044972346322615264,12
B,9,18,4,100,0.6492439554823337,0.6921170357956528,-0.042873080313319045,10
